id,speed,xstart,xend,ystart,yend
3646,NA,174.64961,174.6565934,-36.96027,-36.9377066
3647,NA,174.6815161,174.68413,-36.9136263,-36.90953
3648,NA,174.64961,174.6565934,-36.96027,-36.9377066
3649,NA,174.6815161,174.68413,-36.9136263,-36.90953
3650,NA,174.68334,174.6815161,-36.90944,-36.9136263
3651,21.1040806577479,174.6627612,174.6565934,-36.9258407,-36.9377066
3652,NA,174.6565934,174.64961,-36.9377066,-36.96027
3653,NA,174.68334,174.6815161,-36.90944,-36.9136263
3654,NA,174.6565934,174.64961,-36.9377066,-36.96027
3655,NA,174.63729,174.6301076,-36.95655,-36.9487131
3656,14.8300946616335,174.6301076,174.6540252,-36.9487131,-36.9383953
3657,22.8340770195428,174.6540252,174.6565934,-36.9383953,-36.9377066
3658,NA,174.63729,174.6301076,-36.95655,-36.9487131
3659,25.8316485649225,174.6540252,174.6301076,-36.9383953,-36.9487131
3660,NA,174.6301076,174.63729,-36.9487131,-36.95655
3661,NA,174.6301076,174.63729,-36.9487131,-36.95655
3662,NA,174.65284,174.6546112,-36.91044,-36.9112182
3663,36.8092437277693,174.6526747,174.6565934,-36.9119948,-36.9377066
3664,NA,174.65284,174.6546112,-36.91044,-36.9112182
3665,28.2369268847911,174.6540252,174.6526747,-36.9383953,-36.9119948
3666,NA,174.65206,174.65284,-36.9103252,-36.91044
3667,NA,174.65206,174.65284,-36.9103252,-36.91044
3668,0,174.6815161,174.6815161,-36.9136263,-36.9136263
3669,7.72943347941929,174.6815161,174.7014558,-36.9136263,-36.9228149
3670,27.4954541745907,174.7014558,174.7016661,-36.9228149,-36.9060063
3671,31.3833179509803,174.7016661,174.7010633,-36.9060063,-36.8966213
3672,31.8011880053775,174.7010633,174.7002759,-36.8966213,-36.8863245
3673,18.7065811796338,174.7002759,174.7010633,-36.8863245,-36.8966213
3674,25.9724010628803,174.7010633,174.7016661,-36.8966213,-36.9060063
3675,23.2289181819818,174.7016661,174.7014558,-36.9060063,-36.9228149
3676,8.43693311140275,174.7014558,174.6815161,-36.9228149,-36.9136263
3677,NA,174.6815161,174.70174,-36.9136263,-36.92485
3678,NA,174.6815161,174.70174,-36.9136263,-36.92485
3679,NA,174.70186,174.6815161,-36.92505,-36.9136263
3680,NA,174.70174,174.7014558,-36.92485,-36.9228149
3681,18.0328611595707,174.7010633,174.7022073,-36.8966213,-36.8797269
3682,NA,174.70174,174.7014558,-36.92485,-36.9228149
3683,29.7384026140289,174.7022073,174.7010633,-36.8797269,-36.8966213
3684,NA,174.7014558,174.70186,-36.9228149,-36.92505
3685,NA,174.7014558,174.70186,-36.9228149,-36.92505
3686,NA,174.69363,174.6999293,-36.9191,-36.9190023
3687,NA,174.69363,174.6999293,-36.9191,-36.9190023
3688,NA,174.87467,174.9413799,-37.01346,-37.0581831
3689,NA,174.9413799,174.94611,-37.0581831,-37.06429
3690,NA,174.87467,174.9413799,-37.01346,-37.0581831
3691,NA,174.9413799,174.94611,-37.0581831,-37.06429
3692,NA,174.76848,174.7783886,-36.84429,-36.8705493
3693,49.9298275297358,174.7790784,174.7862605,-36.8711349,-36.8819087
3694,57.8904380314096,174.7862605,174.7970094,-36.8819087,-36.8891917
3695,29.8259010541537,174.7970094,174.811752,-36.8891917,-36.9041586
